"仓库代码","仓库纬度","仓库经度","收件人区","avg(`目的地网点纬度`)","avg(`目的地网点经度`)",distance
"020DCE",23.136,113.535,"万江区",23.0261,113.706,21.344814525
"020DCE",23.136,113.535,"万江街道",23.0471,113.738,23.0042397817
"020DCE",23.136,113.535,"东凤镇",22.7017,113.258,56.0259248118
"020DCE",23.136,113.535,"东区街道",22.5137,113.399,70.6085899353
"020DCE",23.136,113.535,"东升镇",22.6104,113.305,63.0352935092
"020DCE",23.136,113.535,"东坑镇",22.9808,113.945,45.3729757538
"020DCE",23.136,113.535,"东城区",23.0216,113.772,27.3872414726
"020DCE",23.136,113.535,"东城街道",23.0281,113.783,28.0716121872
"020DCE",23.136,113.535,"东山区",23.1205,113.296,24.5080384629
"020DCE",23.136,113.535,"东莞市",23.0205,113.752,25.653801394
"020DCE",23.136,113.535,"丬乡镇",22.3582,113.441,87.0502326746
"020DCE",23.136,113.535,"丬水区",23.1558,112.897,65.2895730238
"020DCE",23.136,113.535,"丬角镇",22.5206,113.306,72.3647312046
"020DCE",23.136,113.535,"中堂镇",23.1007,113.667,14.0625528233
"020DCE",23.136,113.535,"中山市",22.5257,113.382,69.6720182187
"020DCE",23.136,113.535,"五桂山街道",22.4461,113.403,77.9221266845
"020DCE",23.136,113.535,"从化区",23.5468,113.587,46.0007844405
"020DCE",23.136,113.535,"从化市",23.5237,113.599,43.6164036711
"020DCE",23.136,113.535,"企石镇",23.0588,114.028,51.1662564468
"020DCE",23.136,113.535,"光明新区",22.7489,113.936,59.5067111657
"020DCE",23.136,113.535,"凤岗镇",22.7542,114.086,70.6312530992
"020DCE",23.136,113.535,"南区街道",22.4854,113.354,74.70777745
"020DCE",23.136,113.535,"南城区",22.9835,113.754,28.1081433587
"020DCE",23.136,113.535,"南城街道",22.9863,113.744,27.1064770501
"020DCE",23.136,113.535,"南头镇",22.7106,113.289,53.6100054401
"020DCE",23.136,113.535,"南山区",22.5426,113.945,78.2488857203
"020DCE",23.136,113.535,"南朗镇",22.5348,113.511,66.9166184814
"020DCE",23.136,113.535,"南沙区",23.1586,113.364,17.6688508253
"020DCE",23.136,113.535,"南海区",23.0874,113.101,44.7272186861
"020DCE",23.136,113.535,"南湾区",22.2195,113.509,101.977058331
"020DCE",23.136,113.535,"博罗县",23.1926,114.103,58.4252712601
"020DCE",23.136,113.535,"厚街镇",22.9267,113.675,27.3377483083
"020DCE",23.136,113.535,"古镇镇",22.6317,113.193,66.1415182698
"020DCE",23.136,113.535,"台山市",22.3586,112.796,114.992950108
"020DCE",23.136,113.535,"四会市",23.2778,112.803,76.4763581441
"020DCE",23.136,113.535,"坦洲镇",22.2781,113.466,95.6863555602
"020DCE",23.136,113.535,"坪山新区",22.6866,114.351,97.406733522
"020DCE",23.136,113.535,"塘厦镇",22.8064,114.081,66.8624467717
"020DCE",23.136,113.535,"增城区",23.2611,113.811,31.4616441683
"020DCE",23.136,113.535,"增城市",23.2008,113.677,16.2112776284
"020DCE",23.136,113.535,"大亚湾区",22.7409,114.535,111.462988376
"020DCE",23.136,113.535,"大岭山镇",22.902,113.843,40.8857321846
"020DCE",23.136,113.535,"大旺高新技术开发区",23.2955,112.817,75.5099016327
"020DCE",23.136,113.535,"大朗镇",22.9219,113.91,45.1739753995
"020DCE",23.136,113.535,"大涌镇",22.4734,113.28,78.2013203774
"020DCE",23.136,113.535,"大鹏新区",22.5969,114.475,113.476021783
"020DCE",23.136,113.535,"天河区",23.1402,113.361,17.8032930083
"020DCE",23.136,113.535,"宝安区",22.6625,113.94,67.0515021848
